Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
"A child's life of Jesus.","Oursler, Fulton,",8080,8159,1,"Jr. Catholic",,,,,,,
"A Children's Book about Being Bossy","Berry, Joy Wilt.",4027,4068,1,CRK,,,,,,,
"A Children's Book about Being Greedy","Berry, Joy Wilt.",4002,4043,1,CRK,,,,,,,
"A Children's Book about Breaking Promises","Berry, Joy Wilt.",4011,4052,1,CRK,,,,,,,
"A Children's Book about Disobeying","Berry, Joy Wilt.",4000,4041,1,CRK,,,,,,,
"A Children's Book about Disobeying","Berry, Joy Wilt.",4029,4070,1,"00PreK classroom",,,,,,,
"A Children's Book about Gossiping","Berry, Joy Wilt.",4007,4048,1,CRK,,,,,,,
"A Children's Book about Snooping","Berry, Joy Wilt.",4028,4069,1,CRK,,,,,,,
"A Children's Book about Whining","Berry, Joy Wilt.",3998,4039,1,CRK,,,,,,,
"A Children's Book about Whining","Berry, Joy Wilt.",4025,4066,1,"00PreK classroom",,,,,,,
"A Coloring Book of Ancient Greece",,5551,5610,1,NEW,,,,,,,
"A Field Guide to the Birds",,6674,6736,1,Non-fiction,,,,,,,
"A first life of Christ for little Catholics,","Gales, Louis A.,",8048,8126,1,"Jr. Catholic",,,,,,,
"A Time at Home",,11901,12014,1,"1st grade classroom",,,,,,,
"A Time at Home",,11902,12015,1,"1st grade classroom",,,,,,,
"A Time at Home",,11903,12016,1,"1st grade classroom",,,,,,,
"A Time at Home",,11904,12017,1,"1st grade classroom",,,,,,,
"A Time at Home",,11905,12018,1,"1st grade classroom",,,,,,,
"A Time at Home",,11906,12019,1,"1st grade classroom",,,,,,,
"Abbey of the Genesee",,4892,4948,1,"7th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7565,7639,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7566,7640,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7567,7641,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7568,7642,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7569,7643,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7570,7644,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7571,7645,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7572,7646,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7573,7647,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7574,7648,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7575,7649,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",7576,7650,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8537,8619,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8538,8620,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8539,8621,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8540,8622,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8541,8623,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8542,8624,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8543,8625,1,"5th grade classroom",,,,,,,
"Across five Aprils.","Hunt, Irene.",8544,8626,1,"5th grade classroom",,,,,,,
"Activity Book 3 - Paperback (The Story of the World, Early Modern Times) ","Susan Wise Bauer",922,939,1,"4th grade classroom",,,,,,,
"Aesop's Fables",,4203,4244,1,"1st grade classroom",,,,,,,
"Air and Water- Purple Edition",,10504,10605,1,"7th grade classroom",,,,,,,
"Air and Water- Red Edition",,10505,10606,1,"7th grade classroom",,,,,,,
"Algebra 1 Teacher's Edition Homeschool",,8578,8808,1,"8th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11424,11532,1,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11585,11695,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11586,11696,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11587,11697,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11588,11698,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11589,11699,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11590,11700,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11591,11701,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11592,11702,2,"7th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11674,11784,1,"8th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11675,11785,1,"8th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11835,11946,1,"9th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11849,11960,1,"8th grade classroom",,,,,,,
"Algebra 1, 3rd edition","Paul Foerster",11865,11976,1,"8th grade classroom",,,,,,,
"Algebra 1: An Incremental Development - Homeschool Packet, 3rd Edition [Paperback]- 1998","Saxon, John",4015,4056,1,"Staff Use",,,,,,,
"Algebra 1: An Incremental Development - Test Forms, 3rd Edition- 1998","Saxon, John H.",4014,4055,1,"Staff Use",,,,,,,
"Algebra 1: An Incremental Development Solutions Manual- third edition [Paperback]- 1998","Saxon, John",4016,4057,1,"Staff Use",,,,,,,
"Algebra 1/2 Teacher's Edition Homeschool",,7555,7629,1,"Staff Use",,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,3793,3835,1,Storage,,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,3794,3836,1,Storage,,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,3795,3837,1,Storage,,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,3796,3838,1,Storage,,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,3797,3839,1,Storage,,,,,,,
"Algebra 1/2: An Incremental Development (Third Edition) (Homeschool Packet- Answers) [Paperback]- 2002",,4019,4060,1,"8th grade classroom",,,,,,,
"Algebra 2 An Incremental Development Student Text","John Saxon, Jr.",9586,9683,2,"9th grade classroom",,,,,,,
"Algebra 2 Homeschool Testing Book","John Saxon, Jr.",9592,9689,2,"9th grade classroom",,,,,,,
"Algebra 2 Solutions Manual","John Saxon, Jr.",9591,9688,2,"9th grade classroom",,,,,,,
"Algebra 2 Teacher's Manual",Saxon,9482,9578,2,"9th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",10667,10770,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",10668,10771,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11511,11621,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11512,11622,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11513,11623,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11573,11683,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11574,11684,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11575,11685,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11576,11686,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11577,11687,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11578,11688,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11579,11689,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11580,11690,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11581,11691,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11582,11692,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11583,11693,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11584,11694,2,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11604,11714,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11705,11816,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry","Foerster, Paul",11941,12054,1,"10th grade classroom",,,,,,,
"Algebra and Trigonometry Solutions","Foerster, Paul",10669,10772,1,"10th grade classroom",,,,,,,
"Algebra I",,11639,11749,1,,,,,,,,
"All Ye Lands",,8566,8648,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8569,8651,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8710,8793,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8711,8794,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8712,8795,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8713,8796,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8714,8797,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8715,8798,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8716,8799,1,"8th grade classroom",,,,,,,
"All Ye Lands",,8717,8800,1,"8th grade classroom",,,,,,,
"All Ye Lands",,9057,9142,1,"8th grade classroom",,,,,,,
"All Ye Lands Obsolete Edition",,8567,8649,1,Storage,,,,,,,
"All Ye Lands Obsolete Edition",,11517,11627,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11518,11628,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11519,11629,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11520,11630,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11521,11631,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11522,11632,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Obsolete Edition",,11523,11633,1,"SJBS curriculum literature",,,,,,,
"All Ye Lands Teacher's Manual",,8697,8779,1,"8th grade classroom",,,,,,,
"American Cardinal Readers for Catholic Parochial Schools",,4178,4219,1,"1st grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2830,2868,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2831,2869,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2832,2870,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2833,2871,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2834,2872,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2835,2873,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2836,2874,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2837,2875,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",2838,2876,1,"Staff Use",,,,,,,
"American Hero Stories","Tappan, Eva March,",5418,5476,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",5419,5477,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",5420,5478,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",5421,5479,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",5422,5480,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",5508,5567,1,NEW,,,,,,,
"American Hero Stories","Tappan, Eva March,",6049,6108,1,"5th grade classroom",,,,,,,
"American Hero Stories","Tappan, Eva March,",9593,9690,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",948,965,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2839,2877,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2840,2878,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2841,2879,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2842,2880,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2843,2881,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2844,2882,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2845,2883,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2846,2884,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2847,2885,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",2848,2886,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",7196,7261,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",7197,7262,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",7198,7263,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",7199,7264,1,"5th grade classroom",,,,,,,
"An Elementary History of Our Country [Paperback]","Eva March Tappan ",7231,7296,1,"5th grade classroom",,,,,,,
"Angelicum Academy Good Books Program- Grade 4 Study Guide","Taylor, James",4996,5054,1,"4th grade classroom",,,,,,,
"Angelicum Academy Good Books Program- Grade 6 Study Guide","Taylor, James",4894,4950,1,"6th grade classroom",,,,,,,
"Angelicum Academy Good Books Program- Grade 6 Study Guide","Taylor, James",4895,4951,1,"6th grade classroom",,,,,,,
"Anne of Avonlea","Montgomery, L. M.",4585,4639,1,Fiction,,,,,,,
"Anne of Avonlea","Montgomery, L. M.",4586,4640,1,Fiction,,,,,,,
"Anne of Avonlea","Montgomery, L. M.",4587,4641,1,Fiction,,,,,,,
Astronomy,,10469,10570,1,"7th grade classroom",,,,,,,
Astronomy,,10470,10571,1,"7th grade classroom",,,,,,,
Astronomy,,10471,10572,1,"7th grade classroom",,,,,,,
Astronomy,,10472,10573,1,"7th grade classroom",,,,,,,
Astronomy,,10473,10574,1,"7th grade classroom",,,,,,,
Astronomy,,10474,10575,1,"7th grade classroom",,,,,,,
Astronomy,,10475,10576,1,"7th grade classroom",,,,,,,
"Augustus Caesar's World","Genevieve Foster",10373,10473,1,"6th grade classroom",,,,,,,
"Be Not Afraid",,11788,11899,1,"Saints and Holy People",,,,,,,
"Bible Stories for Bedtime",,4182,4223,1,"1st grade classroom",,,,,,,
"Big Book Magazine, Fables",,5002,5060,1,CRK,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",1003,1020,1,"Staff Use",,,Missing,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",1004,1021,1,"Staff Use",,,Missing,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5397,5455,1,NEW,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5398,5456,1,NEW,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5399,5457,1,NEW,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5400,5458,1,,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5401,5459,1,NEW,,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",5402,5460,1,"1st grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",7792,7868,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",7793,7869,1,"8th grade classroom",,,Missing,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",7794,7870,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",7795,7871,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",7796,7872,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",8661,8743,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",8662,8744,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",8663,8745,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",8664,8746,1,"8th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9690,9788,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9691,9789,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9692,9790,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9693,9791,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9694,9792,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9695,9793,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9696,9794,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",9881,9979,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",10441,10542,1,"6th grade classroom",,,,,,,
"Black Ships Before Troy: The Story of 'The Iliad'","Rosemary Sutcliff",10442,10543,1,"6th grade classroom",,,,,,,
"Blessed for Tekakwitha",,11759,11870,1,"Saints and Holy People",,,,,,,
"Breathing Room",,9465,9560,1,Fiction,,,,,,,
"Buen Viaje!  Glencoe Spanish 2","Conrad Schmitt",10798,10905,1,"12th grade classroom",,,,,,,
"Buen Viaje!  Glencoe Spanish 2","Conrad Schmitt",10799,10906,1,"12th grade classroom",,,,,,,
"Buen Viaje!  Glencoe Spanish 2","Conrad Schmitt",11834,11945,1,"10th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10530,10631,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10531,10632,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10532,10633,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10533,10634,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10534,10635,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10535,10636,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10536,10637,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10537,10638,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10538,10639,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10539,10640,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10540,10641,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10541,10642,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10542,10643,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10543,10644,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10544,10645,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10545,10646,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10546,10647,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10547,10648,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10548,10649,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10549,10650,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10550,10651,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10551,10652,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10552,10653,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10553,10654,1,"11th grade classroom",,,,,,,
"Buen viaje! Glencoe Spanish 1","Conrad Schmitt",10716,10819,1,"11th grade classroom",,,,,,,
"Buen viaje! Teacher Wraparound Edition","Conrad Schmitt",10666,10769,1,"Spanish 9-12",,,,,,,
Calculus,"Paul Foerster",11487,11596,1,"12th grade classroom",,,,,,,
"Castles of Scotland",,4204,4245,1,"3rd grade classroom",,,,,,,
"Cathechism of the Catholic Church",,11320,11428,1,"Catholic Resources",,,,,,,
"Cathechism of the Catholic Church",,11321,11429,1,"Catholic Resources",,,,,,,
"Cathedrals of the World Coloring Book","Green, John",4311,4354,1,"3rd grade classroom",,,,,,,
"Celebrating Advent with the Jesse tree /","Winkler, Jude.",7804,7880,1,"Jr. Catholic",,,,,,,
"Celebrating Christmas /","Winkler, Jude.",7805,7882,1,"Jr. Catholic",,,,,,,
"Celebrating Eucharist",,10838,10945,1,"Catholic Resources",,,,,,,
"Challenge at Second Base","Christopher, Matt",5037,5095,1,Fiction,,,,,,,
"Changes in Matter- Red Edition",,10513,10614,1,"7th grade classroom",,,,,,,
"Chemistry Magic","Palder, Edward",4887,4943,1,"6th grade classroom",,,,,,,
"Children's Bible",,11167,11275,1,"Catholic Resources",,,,,,,
